codigo_cliente;nome_cliente;idade_cliente;email_cliente
13;"Adara Z. Pace";81;per.conubia@cursusdiam.com
35;"Adria P. Kline";100;quis.lectus.Nullam@egestasblanditNam.co.uk
8;"Aidan W. Gilbert";33;semper.erat.in@ornare.org
15;"Alea A. Chambers";19;libero@magnaPraesentinterdum.org
43;"Alexandra Campbell";97;amet.consectetuer@sed.ca
38;"Alyssa R. Willis";21;erat.volutpat@tinciduntvehicula.co.uk
17;"Amir E. Blair";28;sit.amet@nisi.edu
39;"Amos Malone";93;mi.Duis.risus@Sed.org
67;"Angela Ochoa";50;eget.ipsum.Donec@loremauctorquis.ca
18;"Anika W. Lowery";76;Nullam.vitae@necurna.net
50;"Anthony Hess";56;iaculis.enim@sem.co.uk
40;"Anthony Wynn";37;natoque.penatibus.et@sapien.net
82;"Ashton L. Fleming";85;Vivamus@lobortis.edu
78;"Audrey B. Clarke";19;non@fermentumarcuVestibulum.org
26;"August O. Craig";96;non.luctus.sit@augue.ca
89;"Avye Langley";99;et.tristique@et.net
5;"Axel Nash";48;eleifend.nec.malesuada@malesuadamalesuadaInteger.org
46;"Bert Prince";44;ante@acnulla.net
91;"Brent Fry";76;scelerisque.scelerisque@orciluctus.edu
69;"Britanni M. Buchanan";42;Aliquam@sit.co.uk
96;"Britanni V. Miranda";71;ullamcorper.viverra@atvelitPellentesque.net
88;"Brittany J. Holman";23;orci@sit.edu
73;"Cade Roberson";51;turpis.non@atpretium.net
49;"Candice Leach";55;odio@anteipsum.edu
54;"Carissa Y. Massey";98;Ut.semper@sedleoCras.co.uk
2;"Carlos Eduardo";23;carlose@itau.com.br
12;"Chancellor I. Oconnor";42;lacinia@congue.com
68;"Chancellor R. Rose";96;gravida@cursusdiamat.edu
25;"Chanda A. Olsen";91;cursus@mifelisadipiscing.net
36;"Clark Moon";84;fringilla.purus@Donec.com
92;"Cullen X. Villarreal";68;odio@nequevenenatislacus.ca
24;"Dale V. Morrison";38;orci.lobortis.augue@Maurisutquam.org
75;"Dana F. Blevins";28;dictum.mi.ac@euplacerat.edu
9;"Dylan Pate";36;ut.odio@necligula.com
102;"Elizabeth Slater";26;sagittis.Nullam@SuspendissesagittisNullam.co.uk
57;"Emery M. Stewart";92;scelerisque@Duiselementum.net
77;"Emmanuel Q. Cooley";75;quis@auctor.net
14;"Eric E. Deleon";57;non.leo@dictumeleifendnunc.org
7;"Evan Browning";78;neque.Nullam@aliquetvel.org
31;"Ferdinand Fleming";72;nulla.Integer@Ut.co.uk
22;"Gareth N. Aguirre";67;Nullam.scelerisque@egetnisidictum.co.uk
51;"Garth Weeks";69;id.magna.et@laoreetposuere.ca
33;"Hadley Griffith";38;pede.ac.urna@Aeneanegestas.net
6;"Hadley Q. Byrd";73;lobortis.tellus@sagittisNullam.net
61;"Hashim D. Greene";97;sapien@Nullam.ca
62;"Holly Deleon";95;Integer@lectus.ca
20;"Hyacinth Kinney";96;eu.turpis.Nulla@Donecegestas.edu
4;"Icaro Araujo";20;icaroa@itau.com.br
44;"Jaime Cleveland";64;eu.enim.Etiam@nonummyacfeugiat.org
65;"Jamal I. Lara";47;et.risus@vitae.com
72;"Jennifer J. Wall";66;elit.pellentesque@velitCraslorem.org
79;"Jessamine Morgan";85;faucibus.leo@natoquepenatibuset.net
19;"Joshua Rivera";73;urna.et.arcu@eratvolutpatNulla.net
16;"Judith Y. Alford";72;Integer.vitae.nibh@iaculisquis.net
83;"Kameko Morales";86;egestas@dolorsit.com
103;"Kasper Sutton";93;Phasellus.elit@feugiatnon.co.uk
59;"Keely E. Burnett";83;faucibus.Morbi@sedleo.edu
86;"Kenneth Obrien";80;rutrum@aliquetnecimperdiet.ca
90;"Kenyon A. Emerson";42;dolor@ante.org
11;"Kibo J. Beasley";65;mattis.ornare@at.ca
10;"Kibo Salas";19;dictum@dolor.org
98;"Kirby H. Ayala";92;a.mi.fringilla@laciniaorciconsectetuer.ca
56;"Kylynn C. Morin";40;dignissim.magna@imperdietornareIn.ca
3;"Lais Lara";18;laisl@itau.com.br
66;"Lamar Cox";38;vitae.posuere@risusNuncac.edu
97;"Leandra Gilmore";21;lorem@vestibulumnec.net
74;"Lev P. Carr";32;consectetuer@infaucibusorci.org
1;"Luiz Brito";28;luizb@itau.com.br
34;"Magee Cain";38;lobortis.nisi.nibh@ornarelectusjusto.ca
85;"Marsden Figueroa";64;Integer.urna.Vivamus@arcuNuncmauris.net
48;"Martena Vaughan";24;sem.ut@diamnuncullamcorper.com
87;"Mary Q. Ferrell";68;sit.amet@euismodacfermentum.org
84;"Maya Strong";87;ullamcorper.velit.in@Cras.co.uk
53;"Melanie X. Richards";91;urna@Praesentinterdum.org
58;"Melodie I. King";94;vitae.dolor@ut.ca
76;"Melyssa O. Le";73;luctus.ipsum.leo@nequeIn.ca
81;"Ocean M. Collins";37;faucibus.lectus@scelerisquemollis.net
41;"Orlando Bond";29;Duis.sit@enim.edu
104;"Patricia Q. Soto";74;pellentesque@Proinsed.org
55;"Paul M. Blair";74;tristique.neque@acfacilisis.org
32;"Rahim R. Salazar";69;ligula.Aenean.gravida@dolor.net
37;"Rahim W. Eaton";48;vestibulum.neque@In.ca
52;"Rebecca Franklin";93;nunc@Sed.com
94;"Reuben Burks";69;elementum@eget.org
99;"Rhoda L. Wise";68;feugiat@magnaSuspendissetristique.ca
101;"Samantha Erickson";99;adipiscing@convalliserateget.net
80;"Scarlet Sheppard";79;metus.In.lorem@magnisdis.com
70;"Shellie Peck";69;sed.facilisis@egestas.com
47;"Simone Glover";23;fringilla@lacinia.org
63;"Taylor W. Dodson";29;Donec@metus.ca
23;"Trevor C. Watts";34;adipiscing.ligula@nonlorem.ca
64;"Ulysses Hood";63;vitae.orci@erat.com
60;"Uriel Beard";85;Donec@pedeac.ca
95;"Uriel Small";68;pellentesque.Sed@Aliquamvulputateullamcorper.com
21;"Ursula X. Rasmussen";99;ac@quis.ca
27;"Vincent Walton";34;sapien.Nunc@tempus.net
42;"Wade Bishop";50;malesuada.fames@idantedictum.com
71;"Walter Lawrence";82;dui.nec.urna@velarcu.co.uk
100;"Xena Riggs";87;placerat@lobortis.co.uk
45;"Xenos X. Mason";68;Donec.est@mieleifend.org
30;"Yeo Reeves";90;Curabitur.massa@neceuismod.org
28;"Yetta Hensley";47;ligula.Aenean.euismod@vulputate.org
